RUN,GRID,LAT,LNG,INFILT,Ds,Ds_MAX,Ws,C,EXPT_1,EXPT_2,EXPT_3,Ksat_1,Ksat_2,Ksat_3,PHI_1,PHI_2,PHI_3,MOIST_1,MOIST_2,MOIST_3,ELEV,DEPTH_1,DEPTH_2,DEPTH_3,AVG_T,DP,BUBLE1,BUBLE2,BUBLE3,QUARZ1,QUARZ2,QUARZ3,BULKDN1,BULKDN2,BULKDN3,PARTDN1,PARTDN2,PARTDN3,OFF_GMT,WcrFT1,WcrFT2,WcrFT3,WpFT1,WpFT2,WpFT3,Z0_SOIL,Z0_SNOW,PRCP,RESM1,RESM2,RESM3,FS_ACTV
1,1,31.75,106.25,0.25,0.026,0,10,1.572,14.2824246709781,14.2824246709781,15.3450742211039,0.410620786573146,0.410620786573146,0.260674575574638,-99,-99,-99,0.05,0.15,0.75,534.85,0.1,0.3,1.5,15.1,4,4.95596787006897,4.95596787006897,5.81366871716173,0.36,0.358,0.358,1370.3,1370.3,1495.8,2685,2685,2685,7.08333333333333,0.62722984096963,0.62722984096963,0.679152560314229,0.31885496557789,0.31885496557789,0.365954137145516,5e-04,5e-04,1001,0,0,0,1
1,2,31.75,106.75,0.25,0.026,0,10,1.572,14.0666580200721,14.0666580200721,14.9542650815517,0.419131176171846,0.419131176171846,0.290139713924797,-99,-99,-99,0.05,0.15,0.75,530.75,0.1,0.3,1.5,15.4,4,5.14473398951373,5.14473398951373,5.74440441888094,0.393,0.388,0.388,1361.9,1361.9,1473.4,2685,2685,2685,7.11666666666667,0.629172359590448,0.629172359590448,0.667049009693126,0.315651047613394,0.315651047613394,0.352239392910429,5e-04,5e-04,1088,0,0,0,1
1,3,31.75,107.25,0.25,0.026,0,10,1.572,14.1194205168689,14.1194205168689,14.96835232943,0.432972367418802,0.432972367418802,0.298832732198862,-99,-99,-99,0.05,0.15,0.75,615.56,0.1,0.3,1.5,15.2,4,4.95745600114258,4.95745600114258,5.58287923928391,0.359,0.352,0.352,1353.2,1353.2,1460.8,2685,2685,2685,7.15,0.625035335578206,0.625035335578206,0.662415035581062,0.31460354828627,0.31460354828627,0.350055397725149,5e-04,5e-04,1141.2,0,0,0,1
1,4,31.75,107.75,0.25,0.026,0,10,1.572,13.824567515328,13.824567515328,14.22310729873,0.49498070283477,0.49498070283477,0.40105655222277,-99,-99,-99,0.05,0.15,0.75,848.2,0.1,0.3,1.5,14.8,4,4.83022330651997,4.83022330651997,4.98101241366469,0.462,0.433,0.433,1302.5,1302.5,1369.4,2685,2685,2685,7.18333333333333,0.618528688047454,0.618528688047454,0.62330564256347,0.305560885886739,0.305560885886739,0.315729044851456,5e-04,5e-04,1204.6,0,0,0,1
1,5,31.75,108.25,0.25,0.026,0,10,1.572,15.7881478513729,15.7881478513729,17.7719460145823,0.275457752417736,0.275457752417736,0.128799702277504,-99,-99,-99,0.05,0.15,0.75,1075.35,0.1,0.3,1.5,13.1,4,5.47703252680746,5.47703252680746,6.31205919906092,0.503,0.465,0.465,1290.7,1290.7,1389,2685,2685,2685,7.21666666666667,0.685448541296472,0.685448541296472,0.753576987252982,0.377344792219754,0.377344792219754,0.449474741227248,5e-04,5e-04,1207.8,0,0,0,1
1,6,31.75,108.75,0.25,0.026,0,10,1.572,14.9081200222765,14.9081200222765,16.6691760826296,0.342602092972404,0.342602092972404,0.179008856470119,-99,-99,-99,0.05,0.15,0.75,1548.38,0.1,0.3,1.5,12.2,4,5.30787585500791,5.30787585500791,6.05647813922557,0.572,0.513,0.513,1352.9,1352.9,1432.7,2685,2685,2685,7.25,0.657259307825896,0.657259307825896,0.719817546578457,0.346212134492663,0.346212134492663,0.411807896750029,5e-04,5e-04,1072.7,0,0,0,1
1,7,31.75,109.25,0.25,0.026,0,10,1.572,14.9477493179743,14.9477493179743,16.8253987223195,0.342189462161627,0.342189462161627,0.176958979335337,-99,-99,-99,0.05,0.15,0.75,1697.15,0.1,0.3,1.5,12.5,4,5.21547181911449,5.21547181911449,5.93297137043924,0.521,0.482,0.482,1382.8,1382.8,1460.5,2685,2685,2685,7.28333333333333,0.65446436381187,0.65446436381187,0.720402568316159,0.345473664194457,0.345473664194457,0.414751514787038,5e-04,5e-04,955,0,0,0,1
1,8,32.25,106.25,0.25,0.026,0,10,1.572,15.4801988288218,15.4801988288218,16.6579836368797,0.314054200282208,0.314054200282208,0.191818002280705,-99,-99,-99,0.05,0.15,0.75,930.42,0.1,0.3,1.5,13.5,4,5.10650148753321,5.10650148753321,5.80672460632858,0.388,0.382,0.382,1354.4,1354.4,1444.7,2685,2685,2685,7.08333333333333,0.665408508662507,0.665408508662507,0.712955086526284,0.360956769451199,0.360956769451199,0.407695263961766,5e-04,5e-04,907.4,0,0,0,1
1,9,32.25,106.75,0.25,0.026,0,10,1.572,14.4390849717493,14.4390849717493,15.1354674152909,0.429843429057838,0.429843429057838,0.316422896399865,-99,-99,-99,0.05,0.15,0.75,892.58,0.1,0.3,1.5,13.3,4,4.83453818531916,4.83453818531916,5.15870514788321,0.388,0.381,0.381,1320.8,1320.8,1385.4,2685,2685,2685,7.11666666666667,0.633038899067093,0.633038899067093,0.653337451377622,0.324803703404859,0.324803703404859,0.348304087989466,5e-04,5e-04,991.8,0,0,0,1
1,10,32.25,107.25,0.25,0.026,0,10,1.572,14.9215906800729,14.9215906800729,15.3493528329983,0.402280410291602,0.402280410291602,0.286806080980411,-99,-99,-99,0.05,0.15,0.75,984.12,0.1,0.3,1.5,13.3,4,4.69145618286533,4.69145618286533,5.36657275288557,0.394,0.383,0.383,1301.1,1301.1,1369.17525773196,2685,2685,2685,7.15,0.641265313446444,0.641265313446444,0.665457528031155,0.338032033564408,0.338032033564408,0.358651541019693,5e-04,5e-04,1085,0,0,0,1
1,11,32.25,107.75,0.25,0.026,0,10,1.572,14.9435184953081,14.9435184953081,16.0670572842929,0.578599580616431,0.578599580616431,0.38212261498305,-99,-99,-99,0.05,0.15,0.75,1019.31,0.1,0.3,1.5,12.7,4,3.10925007067768,3.10925007067768,3.64603366190337,0.482,0.45,0.45,1333.6,1333.6,1417,2685,2685,2685,7.18333333333333,0.577257970204232,0.577257970204232,0.619642107032346,0.304649584544183,0.304649584544183,0.345491758616872,5e-04,5e-04,1191,0,0,0,1
1,12,32.25,108.25,0.25,0.026,0,10,1.572,15.929893676295,15.929893676295,17.5666594607572,0.2833290328197,0.2833290328197,0.147421231533289,-99,-99,-99,0.05,0.15,0.75,1113.59,0.1,0.3,1.5,11.5,4,5.08339721579295,5.08339721579295,5.91089670050846,0.557,0.504,0.504,1370.3,1370.3,1445.45454545455,2685,2685,2685,7.21666666666667,0.675616672234193,0.675616672234193,0.738471788533308,0.374374086226162,0.374374086226162,0.437269121143992,5e-04,5e-04,1201.9,0,0,0,1
1,13,32.25,108.75,0.25,0.026,0,10,1.572,14.5930146411766,14.5930146411766,16.5316360128544,0.366580223112128,0.366580223112128,0.186987967667336,-99,-99,-99,0.05,0.15,0.75,1267.72,0.1,0.3,1.5,11.5,4,5.21909734458922,5.21909734458922,5.99033708103795,0.494,0.465,0.465,1401.8,1401.8,1476.9,2685,2685,2685,7.25,0.644718656008996,0.644718656008996,0.714380182605309,0.333740446384823,0.333740446384823,0.406383911884457,5e-04,5e-04,951.5,0,0,0,1
1,14,32.25,109.25,0.25,0.026,0,10,1.572,14.3829576116264,14.3829576116264,16.1391000315016,0.425397561021613,0.425397561021613,0.230448376315162,-99,-99,-99,0.05,0.15,0.75,1199.29,0.1,0.3,1.5,11.2,4,4.7365007530782,4.7365007530782,5.49367978018611,0.474,0.454,0.454,1391.8,1391.8,1473.2,2685,2685,2685,7.28333333333333,0.623443710461234,0.623443710461234,0.689701126116609,0.318829739038514,0.318829739038514,0.385788058432987,5e-04,5e-04,793.5,0,0,0,1
1,15,32.75,106.25,0.25,0.026,0,10,1.572,15.8904599864062,15.8904599864062,17.6918793999016,0.354068304921402,0.354068304921402,0.179852085240617,-99,-99,-99,0.05,0.15,0.75,1214.94,0.1,0.3,1.5,11.9,4,4.16736343990148,4.16736343990148,4.99566923697547,0.5,0.46,0.46,1393.9,1393.9,1477,2685,2685,2685,7.08333333333333,0.641680107353057,0.641680107353057,0.714680452412082,0.354927500999673,0.354927500999673,0.425075944561332,5e-04,5e-04,752.8,0,0,0,1
1,16,32.75,106.75,0.25,0.026,0,10,1.572,15.1241859970483,15.1241859970483,16.861038150216,0.649035782595186,0.649035782595186,0.355275127646966,-99,-99,-99,0.05,0.15,0.75,1327.48,0.1,0.3,1.5,11.1,4,2.53819476478626,2.53819476478626,3.34531300797436,0.499,0.459,0.459,1393.5,1393.5,1477.5,2685,2685,2685,7.11666666666667,0.548369540758256,0.548369540758256,0.625962111293084,0.292173048252047,0.292173048252047,0.360892049723676,5e-04,5e-04,865.4,0,0,0,1
1,17,32.75,107.25,0.25,0.026,0,10,1.572,15.103320657965,15.103320657965,16.7890499477731,0.397287711866545,0.397287711866545,0.223776259986496,-99,-99,-99,0.05,0.15,0.75,1227.9,0.1,0.3,1.5,10,4,4.37438480908464,4.37438480908464,5.00875655099659,0.544,0.495,0.495,1383.6,1383.6,1478.8,2685,2685,2685,7.15,0.629197387394327,0.629197387394327,0.691475426464694,0.334874715254626,0.334874715254626,0.397518537010755,5e-04,5e-04,983.1,0,0,0,1
1,18,32.75,107.75,0.25,0.026,0,10,1.572,14.871926381375,14.871926381375,16.2659052921039,0.569657022887122,0.569657022887122,0.358068622075191,-99,-99,-99,0.05,0.15,0.75,1192.46,0.1,0.3,1.5,9.4,4,3.16141205534103,3.16141205534103,3.72594432091826,0.532,0.496,0.496,1360,1360,1470.7,2685,2685,2685,7.18333333333333,0.574167733797666,0.574167733797666,0.628213729983384,0.301853064507576,0.301853064507576,0.353351593450239,5e-04,5e-04,1001.6,0,0,0,1
1,19,32.75,108.25,0.25,0.026,0,10,1.572,15.8276147286131,15.8276147286131,17.7547741677065,0.321934655762524,0.321934655762524,0.160922289569968,-99,-99,-99,0.05,0.15,0.75,826.28,0.1,0.3,1.5,12.8,4,4.59487932211111,4.59487932211111,5.34816220374946,0.534,0.498,0.498,1388.5,1388.5,1469.5,2685,2685,2685,7.21666666666667,0.655700951144065,0.655700951144065,0.727305233326067,0.361632050407825,0.361632050407825,0.433544009502118,5e-04,5e-04,972.7,0,0,0,1
1,20,32.75,108.75,0.25,0.026,0,10,1.572,15.2708642072678,15.2708642072678,17.1765719041481,0.296834490331234,0.296834490331234,0.156776408767856,-99,-99,-99,0.05,0.15,0.75,634.88,0.1,0.3,1.5,13.2,4,5.5164281409383,5.5164281409383,6.09523597379759,0.494,0.477,0.477,1389.8,1389.8,1470.5,2685,2685,2685,7.25,0.671433554856814,0.671433554856814,0.733635433758901,0.36044442907296,0.36044442907296,0.428186418540313,5e-04,5e-04,853.9,0,0,0,1
1,21,32.75,109.25,0.25,0.026,0,10,1.572,15.5679885870521,15.5679885870521,17.4261153039077,0.30410790047002,0.30410790047002,0.157992078397923,-99,-99,-99,0.05,0.15,0.75,664.41,0.1,0.3,1.5,13.3,4,5.084166878593,5.084166878593,5.76264132927492,0.499,0.482,0.482,1376.8,1376.8,1465.1,2685,2685,2685,7.28333333333333,0.665519026255207,0.665519026255207,0.730882699817664,0.362562442912317,0.362562442912317,0.43057159016124,5e-04,5e-04,752.5,0,0,0,1
1,22,33.25,106.25,0.25,0.026,0,10,1.572,14.7285013215618,14.7285013215618,16.3059578022305,0.469016282639317,0.469016282639317,0.267108902910107,-99,-99,-99,0.05,0.15,0.75,1078.82,0.1,0.3,1.5,13.1,4,4.03177922175567,4.03177922175567,4.74274483959177,0.514,0.488,0.488,1378,1378,1451.4,2685,2685,2685,7.08333333333333,0.607588420084334,0.607588420084334,0.669149810400807,0.316921348842832,0.316921348842832,0.377029401930582,5e-04,5e-04,391,0,0,0,1
1,23,33.25,106.75,0.25,0.026,0,10,1.572,13.8011294571516,13.8011294571516,15.0174618983283,0.762262980472773,0.762262980472773,0.50573588453689,-99,-99,-99,0.05,0.15,0.75,1124.65,0.1,0.3,1.5,12.4,4,2.77423363723452,2.77423363723452,3.37570798536668,0.489,0.477,0.477,1390.6,1390.6,1480.50505050505,2685,2685,2685,7.11666666666667,0.52904321695353,0.52904321695353,0.580074116775756,0.260954317039075,0.260954317039075,0.307342077778563,5e-04,5e-04,666.3,0,0,0,1
1,24,33.25,107.25,0.25,0.026,0,10,1.572,14.3216461923818,14.3216461923818,15.6377677877158,0.435932219921135,0.435932219921135,0.274216414997186,-99,-99,-99,0.05,0.15,0.75,816.78,0.1,0.3,1.5,13.2,4,4.69472135985767,4.69472135985767,5.27801626582574,0.502,0.481,0.481,1397.6,1397.6,1475.9595959596,2685,2685,2685,7.15,0.620714702619226,0.620714702619226,0.6702108007126,0.316283423552487,0.316283423552487,0.366344945934395,5e-04,5e-04,884.8,0,0,0,1
1,25,33.25,107.75,0.25,0.026,0,10,1.572,14.3445613610599,14.3445613610599,16.0895549678216,0.36821737335591,0.36821737335591,0.196673310993777,-99,-99,-99,0.05,0.15,0.75,811.21,0.1,0.3,1.5,12.5,4,5.43936660311371,5.43936660311371,6.25819155538772,0.498,0.477,0.477,1409.8,1409.8,1484.84848484848,2685,2685,2685,7.18333333333333,0.644727998284058,0.644727998284058,0.710404978032008,0.328967045845514,0.328967045845514,0.3964960076728,5e-04,5e-04,855.9,0,0,0,1
1,26,33.25,108.25,0.25,0.026,0,10,1.572,14.6661855947155,14.6661855947155,16.0831750922273,0.462745160973222,0.462745160973222,0.25904968279868,-99,-99,-99,0.05,0.15,0.75,1025.32,0.1,0.3,1.5,11.6,4,4.12635841725098,4.12635841725098,5.05694427778037,0.495,0.461,0.461,1380.6,1380.6,1475,2685,2685,2685,7.21666666666667,0.609107106829906,0.609107106829906,0.674022469346552,0.316610881758742,0.316610881758742,0.376082992693861,5e-04,5e-04,813.6,0,0,0,1
1,27,33.25,108.75,0.25,0.026,0,10,1.572,14.4245753786818,14.4245753786818,16.2075566827879,0.439261341991435,0.439261341991435,0.235636799153082,-99,-99,-99,0.05,0.15,0.75,1226.88,0.1,0.3,1.5,10.7,4,4.54845350378202,4.54845350378202,5.32601397511944,0.488,0.45,0.45,1392.4,1392.4,1474.5,2685,2685,2685,7.25,0.617859329299391,0.617859329299391,0.686133011247773,0.316746712430482,0.316746712430482,0.384949650735857,5e-04,5e-04,756.6,0,0,0,1
1,28,33.25,109.25,0.25,0.026,0,10,1.572,16.249772810923,16.249772810923,17.5888050714971,0.303390914153816,0.303390914153816,0.174483007109547,-99,-99,-99,0.05,0.15,0.75,1069.41,0.1,0.3,1.5,11.1,4,4.5351682983745,4.5351682983745,5.22219687666774,0.483,0.444,0.444,1357.4,1357.4,1403.3,2685,2685,2685,7.28333333333333,0.666555770174931,0.666555770174931,0.719393830885298,0.374655275431123,0.374655275431123,0.426311532412194,5e-04,5e-04,728.6,0,0,0,1
1,29,33.75,106.25,0.25,0.026,0,10,1.572,14.0141126409348,14.0141126409348,15.0691295917016,0.449934283928374,0.449934283928374,0.299833691891873,-99,-99,-99,0.05,0.15,0.75,1328.17,0.1,0.3,1.5,11.8,4,4.72800588986678,4.72800588986678,5.40171042087216,0.493,0.46,0.46,1417,1417,1480.8,2685,2685,2685,7.08333333333333,0.610870241352801,0.610870241352801,0.658394130701147,0.305462172938233,0.305462172938233,0.349788432624622,5e-04,5e-04,428,0,0,0,1
1,30,33.75,106.75,0.25,0.026,0,10,1.572,14.0687204770886,14.0687204770886,14.8733854518421,0.575225009741523,0.575225009741523,0.324612036784491,-99,-99,-99,0.05,0.15,0.75,1574.31,0.1,0.3,1.5,10,4,3.65289641108681,3.65289641108681,5.21218337145392,0.486,0.448,0.448,1414.5,1414.5,1518.38709677419,2685,2685,2685,7.11666666666667,0.572587293058136,0.572587293058136,0.646452795531702,0.287299667758217,0.287299667758217,0.339881823145279,5e-04,5e-04,589,0,0,0,1
1,31,33.75,107.25,0.25,0.026,0,10,1.572,13.2789471380412,13.2789471380412,15.5731648863602,0.83050829328204,0.83050829328204,0.367971703755822,-99,-99,-99,0.05,0.15,0.75,1659.74,0.1,0.3,1.5,8.7,4,2.76048626815597,2.76048626815597,4.1163271466081,0.483,0.444,0.444,1404.1,1404.1,1528.85416666667,2685,2685,2685,7.15,0.514167589272279,0.514167589272279,0.625289568120044,0.244672864004333,0.244672864004333,0.340731368543157,5e-04,5e-04,716.9,0,0,0,1
1,32,33.75,107.75,0.25,0.026,0,10,1.572,13.9735937566072,13.9735937566072,15.660759462995,0.736591320269823,0.736591320269823,0.369931516947308,-99,-99,-99,0.05,0.15,0.75,1939.32,0.1,0.3,1.5,5.3,4,2.78929084629426,2.78929084629426,4.04209767680189,0.488,0.45,0.45,1413.6,1413.6,1491.02040816327,2685,2685,2685,7.18333333333333,0.533718277079581,0.533718277079581,0.625095548859171,0.266200681228824,0.266200681228824,0.342059422621664,5e-04,5e-04,737.4,0,0,0,1
1,33,33.75,108.25,0.25,0.026,0,10,1.572,14.0798698302558,14.0798698302558,16.194857206922,0.755922294958077,0.755922294958077,0.35406614213593,-99,-99,-99,0.05,0.15,0.75,1732.49,0.1,0.3,1.5,9.6,4,2.61627921741354,2.61627921741354,3.80816186520958,0.493,0.459,0.459,1426.5,1426.5,1497.9,2685,2685,2685,7.21666666666667,0.526850150253241,0.526850150253241,0.629554083274813,0.264534250985255,0.264534250985255,0.353010058073507,5e-04,5e-04,698.1,0,0,0,1
1,34,33.75,108.75,0.25,0.026,0,10,1.572,14.3208840793139,14.3208840793139,16.1001477038949,0.684082008696483,0.684082008696483,0.353674778322717,-99,-99,-99,0.05,0.15,0.75,1478.95,0.1,0.3,1.5,10.2,4,2.8443248021587,2.8443248021587,3.88483597684745,0.501,0.476,0.476,1404.3,1404.3,1474.8,2685,2685,2685,7.25,0.545047492956362,0.545047492956362,0.630535675733201,0.277714805150225,0.277714805150225,0.352084801113032,5e-04,5e-04,655.5,0,0,0,1
1,35,33.75,109.25,0.25,0.026,0,10,1.572,13.8037240450677,13.8037240450677,15.905176697598,0.818004425462743,0.818004425462743,0.380476058302785,-99,-99,-99,0.05,0.15,0.75,1376.39,0.1,0.3,1.5,9.9,4,2.50508891595445,2.50508891595445,3.76896401601194,0.491,0.454,0.454,1440.8,1440.8,1481.5,2685,2685,2685,7.28333333333333,0.515401267097758,0.515401267097758,0.620438010462909,0.254268480563912,0.254268480563912,0.343409853011838,5e-04,5e-04,670.3,0,0,0,1
1,36,34.25,106.25,0.25,0.2929,0.7,66.8,1.176,14.8682509227502,14.8682509227502,16.4438641803593,0.408354792006972,0.408354792006972,0.227224721176113,-99,-99,-99,0.05,0.15,0.75,1668.42,0.1,0.3,1.5,8.4,4,4.37779508704676,4.37779508704676,5.23570890467475,0.398,0.385,0.385,1452.9,1452.9,1553.5,2685,2685,2685,7.08333333333333,0.62045688986904,0.62045688986904,0.689260958216031,0.326123383527438,0.326123383527438,0.390653110406821,5e-04,5e-04,576.7,0,0,0,1
1,37,34.25,106.75,0.25,0.2929,0.7,66.8,1.176,13.9610364079253,13.9610364079253,15.1358043835253,0.588953389923089,0.588953389923089,0.379500746011335,-99,-99,-99,0.05,0.15,0.75,1500.11,0.1,0.3,1.5,10.1,4,3.61738454982261,3.61738454982261,4.35591193725716,0.48,0.473,0.473,1412.8,1412.8,1499.3,2685,2685,2685,7.11666666666667,0.567352149894804,0.567352149894804,0.623542165020361,0.28275070231068,0.28275070231068,0.332425575639711,5e-04,5e-04,684.4,0,0,0,1
1,38,34.25,107.25,0.25,0.2929,0.7,66.8,1.176,13.3562525576939,13.3562525576939,14.6245991962818,0.585201174216999,0.585201174216999,0.360622974120694,-99,-99,-99,0.05,0.15,0.75,1293.59,0.1,0.3,1.5,10,4,4.20483792330472,4.20483792330472,5.05940252030363,0.498,0.484,0.484,1401.9,1401.9,1506.46464646465,2685,2685,2685,7.15,0.577212704329213,0.577212704329213,0.63625023275912,0.27620050505055,0.27620050505055,0.329946502537146,5e-04,5e-04,713.1,0,0,0,1
1,39,34.25,107.75,0.25,0.2929,0.7,66.8,1.176,13.2417176328558,13.2417176328558,13.9616217340141,0.593650825603326,0.593650825603326,0.42167980644408,-99,-99,-99,0.05,0.15,0.75,911.51,0.1,0.3,1.5,10.8,4,4.26097363952378,4.26097363952378,5.02290393324904,0.475,0.466,0.466,1424.3,1424.3,1508.8,2685,2685,2685,7.18333333333333,0.576911208293115,0.576911208293115,0.618225267279726,0.27379007554611,0.27379007554611,0.308115742721985,5e-04,5e-04,763.3,0,0,0,1
1,40,34.25,108.25,0.25,0.2929,0.7,66.8,1.176,12.3981135759018,12.3981135759018,12.4873578627845,0.564747763605661,0.564747763605661,0.455926230770019,-99,-99,-99,0.05,0.15,0.75,569.28,0.1,0.3,1.5,13.1,4,5.43378354579072,5.43378354579072,6.29580472648077,0.476,0.469,0.469,1406,1406,1486.1,2685,2685,2685,7.21666666666667,0.594276774376735,0.594276774376735,0.617786761612602,0.263780047197664,0.263780047197664,0.276318491260591,5e-04,5e-04,632.1,0,0,0,1
1,41,34.25,108.75,0.25,0.2929,0.7,66.8,1.176,12.2585746806658,12.2585746806658,12.5175832875748,0.427477207896813,0.427477207896813,0.384634776252496,-99,-99,-99,0.05,0.15,0.75,449.88,0.1,0.3,1.5,13,4,7.23573845467806,7.23573845467806,7.25392314585823,0.486,0.479,0.479,1409.375,1409.375,1486.5625,2685,2685,2685,7.25,0.637871729725389,0.637871729725389,0.643273702445322,0.279685647609077,0.279685647609077,0.288454185657004,5e-04,5e-04,562.3,0,0,0,1
1,42,34.25,109.25,0.25,0.2929,0.7,66.8,1.176,12.9168447569146,12.9168447569146,13.3955963823726,0.385953965547683,0.385953965547683,0.350312410053238,-99,-99,-99,0.05,0.15,0.75,645.05,0.1,0.3,1.5,12.8,4,6.99181629203699,6.99181629203699,6.68419992823794,0.488,0.465,0.465,1409.9,1409.9,1489.3,2685,2685,2685,7.28333333333333,0.649987164616277,0.649987164616277,0.652997821926737,0.30102979031473,0.30102979031473,0.31333711001164,5e-04,5e-04,596.3,0,0,0,1
